Review,Liked,cleaned_review,raw_length,cleaned_length
They have a really nice atmosphere.,1,really nice atmosphere,35,22
Tonight I had the Elk Filet special...and it sucked.,0,tonight elk filet specialand sucked,52,35
"After one bite, I was hooked.",1,one bite hooked,29,15
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,ordered old classic new dish going time sorely disappointed everything,124,70
"Cute, quaint, simple, honest.",1,cute quaint simple honest,29,25
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,chicken deliciously seasoned perfect fry outside moist chicken inside,108,69
"The food was great as always, compliments to the chef.",1,food great always compliment chef,54,33
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,special thanks dylan recommendation order yummy tummy,93,53
Awesome selection of beer.,1,awesome selection beer,26,22
Great food and awesome service!,1,great food awesome service,31,26
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,one nice thing added gratuity bill since party larger didnt expect tip,138,70
A FLY was in my apple juice.. A FLY!!!!!!!!,0,fly apple juice fly,43,19
The Han Nan Chicken was also very tasty.,1,han nan chicken also tasty,40,26
"As for the service, I thought it was good.",1,service thought good,42,20
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,food barely lukewarm must sitting waiting server bring u,104,56
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,ryans bar definitely one edinburgh establishment wont revisiting,75,64
Nicest Chinese restaurant I've been in a while.,1,nicest chinese restaurant ive,47,29
"Overall, I like there food and the service.",1,overall like food service,43,25
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,also serve indian naan bread hummus spicy pine nut sauce world,107,62
"Probably never coming back, and wouldn't recommend it.",0,probably never coming back wouldnt recommend,54,44
"Friend's pasta -- also bad, he barely touched it.",0,friend pasta also bad barely touched,49,36
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,try airport experience tasty food speedy friendly service,83,57
I love the decor with the Chinese calligraphy wall paper.,1,love decor chinese calligraphy wall paper,57,41
Never had anything to complain about here.,1,never anything complain,42,23
The restaurant is very clean and has a family restaurant feel to it.,1,restaurant clean family restaurant feel,68,39
It was way over fried.,0,way fried,22,9
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,im sure long stood long enough begin feel awkwardly place,107,57
"When I opened the sandwich, I was impressed, but not in a good way.",0,opened sandwich impressed good way,67,34
Will not be back!,0,back,17,4
There was a warm feeling with the service and I felt like their guest for a special treat.,1,warm feeling service felt like guest special treat,90,50
An extensive menu provides lots of options for breakfast.,1,extensive menu provides lot option breakfast,57,44
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,always order vegetarian menu dinner wide array option choose,104,60
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,watched price inflate portion get smaller management attitude grow rapidly,96,74
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,wonderful lil tapa ambience made feel warm fuzzy inside,76,55
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,got enjoy seafood salad fabulous vinegrette,61,43
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,wonton thin thick chewy almost melt mouth,70,41
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,level spicy perfect spice didnt overwhelm soup,66,46
We were sat right on time and our server from the get go was FANTASTIC!,1,sat right time server get go fantastic,71,38
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,main thing didnt enjoy crowd older crowd around mid,85,51
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,im side town definitely spot ill hit,80,36
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,wait minute get drink longer get arepas,73,39
This is a GREAT place to eat!,1,great place eat,29,15
The jalapeno bacon is soooo good.,1,jalapeno bacon soooo good,33,25
The service was poor and thats being nice.,0,service poor thats nice,42,23
"Food was good, service was good, Prices were good.",1,food good service good price good,50,33
The place was not clean and the food oh so stale!,0,place clean food oh stale,49,25
"The chicken dishes are OK, the beef is like shoe leather.",0,chicken dish ok beef like shoe leather,57,38
But the service was beyond bad.,0,service beyond bad,31,18
"I'm so happy to be here!!!""",1,im happy,27,8
Tasted like dirt.,0,tasted like dirt,17,16
One of the few places in Phoenix that I would definately go back to again .,1,one place phoenix would definately go back,75,42
The block was amazing.,1,block amazing,22,13
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,close house lowkey nonfancy affordable price good food,78,54
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,hot sour egg flower soup absolutely star,69,40
My sashimi was poor quality being soggy and tasteless.,0,sashimi poor quality soggy tasteless,54,36
Great time - family dinner on a Sunday night.,1,great time family dinner sunday night,45,37
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,food tasty say real traditional hunan style,76,43
"What did bother me, was the slow service.",0,bother slow service,41,19
The flair bartenders are absolutely amazing!,1,flair bartender absolutely amazing,44,34
Their frozen margaritas are WAY too sugary for my taste.,0,frozen margarita way sugary taste,56,33
These were so good we ordered them twice.,1,good ordered twice,41,18
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,nutshell restaraunt smell like combination dirty fish market sewer,97,66
My girlfriend's veal was very bad.,0,girlfriend veal bad,34,19
"Unfortunately, it was not good.",0,unfortunately good,31,18
I had a pretty satifying experience.,1,pretty satifying experience,36,27
Join the club and get awesome offers via email.,1,join club get awesome offer via email,47,37
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,perfect someone like beer ice cold case even colder,84,51
Bland and flavorless is a good way of describing the barely tepid meat.,0,bland flavorless good way describing barely tepid meat,71,54
"The chains, which I'm no fan of, beat this place easily.",0,chain im fan beat place easily,56,30
The nachos are a MUST HAVE!,1,nacho must,27,10
We will not be coming back.,0,coming back,27,11
"I don't have very many words to say about this place, but it does everything pretty well.",1,dont many word say place everything pretty well,89,47
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,staff super nice quick even crazy crowd downtown jury lawyer court staff,115,72
"Great atmosphere, friendly and fast service.",1,great atmosphere friendly fast service,44,38
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,received pita huge lot meat thumb,87,33
Once your food arrives it's meh.,0,food arrives meh,32,16
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,paying hot dog fry look like came kid meal wienerschnitzel idea good meal,134,73
The classic Maine Lobster Roll was fantastic.,1,classic maine lobster roll fantastic,45,36
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,brother law work mall ate day guess sick night,100,46
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,good going review place twice hereas tribute place tribute event held last night,146,80
"The chips and salsa were really good, the salsa was very fresh.",1,chip salsa really good salsa fresh,63,34
This place is great!!!!!!!!!!!!!!,1,place great,33,11
Mediocre food.,0,mediocre food,14,13
Once you get inside you'll be impressed with the place.,1,get inside youll impressed place,55,32
I'm super pissd.,0,im super pissd,16,14
And service was super friendly.,1,service super friendly,31,22
Why are these sad little vegetables so overcooked?,0,sad little vegetable overcooked,50,31
This place was such a nice surprise!,1,place nice surprise,36,19
They were golden-crispy and delicious.,1,goldencrispy delicious,38,22
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,high hope place since burger cooked charcoal grill unfortunately taste fell flat way flat,132,89
I could eat their bruschetta all day it is devine.,1,could eat bruschetta day devine,50,31
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,single employee came see ok even needed water refill finally served u food,119,74
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,lastly mozzarella stick best thing ordered,67,42
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,first time ever came amazing experience still tell people awesome duck,106,70
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,server negligent need made u feel unwelcome would suggest place,109,63
The service was terrible though.,0,service terrible though,32,23
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,place overpriced consistent boba really overpriced,86,50
It was packed!!,0,packed,15,6
I love this place.,1,love place,18,10
I can say that the desserts were yummy.,1,say dessert yummy,39,17
The food was terrible.,0,food terrible,22,13
The seasonal fruit was fresh white peach puree.,1,seasonal fruit fresh white peach puree,47,38
It kept getting worse and worse so now I'm officially done.,0,kept getting worse worse im officially done,59,43
This place should honestly be blown up.,0,place honestly blown,39,20
But I definitely would not eat here again.,0,definitely would eat,42,20
Do not waste your money here!,0,waste money,29,11
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,love put food nice plastic container opposed cramming little paper takeout box,115,78
The crêpe was delicate and thin and moist.,1,crêpe delicate thin moist,42,25
Awful service.,0,awful service,14,13
Won't ever go here again.,0,wont ever go,25,12
Food quality has been horrible.,0,food quality horrible,31,21
For that price I can think of a few place I would have much rather gone.,0,price think place would much rather gone,72,40
The service here is fair at best.,0,service fair best,33,17
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,love sushi found kabuki overpriced overhip underservices,83,56
Do yourself a favor and stay away from this dish.,0,favor stay away dish,49,20
Very poor service.,0,poor service,18,12
No one at the table thought the food was above average or worth the wait that we had for it.,0,one table thought food average worth wait,92,41
"Best service and food ever, Maria our server was so good and friendly she made our day.",1,best service food ever maria server good friendly made day,87,58
They were excellent.,1,excellent,20,9
I paid the bill but did not tip because I felt the server did a terrible job.,0,paid bill tip felt server terrible job,77,38
Just had lunch here and had a great experience.,1,lunch great experience,47,22
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,never bland food surprised considering article read focused much spice flavor,127,77
Food is way overpriced and portions are fucking small.,0,food way overpriced portion fucking small,54,41
I recently tried Caballero's and I have been back every week since!,1,recently tried caballeros back every week since,67,47
"for 40 bucks a head, i really expect better food.",0,buck head really expect better food,49,35
The food came out at a good pace.,1,food came good pace,33,19
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,ate twice last visit especially enjoyed salmon salad,76,52
I won't be back.,0,wont back,16,9
We could not believe how dirty the oysters were!,0,could believe dirty oyster,48,26
This place deserves no stars.,0,place deserves star,29,19
I would not recommend this place.,0,would recommend place,33,21
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,fact im going round star awesome,74,32
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,disbelief dish qualified worst version food ever tasted,92,55
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,bad day low tolerance rude customer service people job nice polite wash dish otherwise,139,86
the potatoes were great and so was the biscuit.,1,potato great biscuit,47,20
I probably would not go here again.,0,probably would go,35,17
So flavorful and has just the perfect amount of heat.,1,flavorful perfect amount heat,53,29
The price is reasonable and the service is great.,1,price reasonable service great,49,30
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,wife hated meal coconut shrimp friend really enjoy meal either,99,62
My fella got the huevos rancheros and they didn't look too appealing.,0,fella got huevos rancheros didnt look appealing,69,47
"Went in for happy hour, great list of wines.",1,went happy hour great list wine,44,31
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,may say buffet pricey think get pay place getting quite lot,115,59
I probably won't be coming back here.,0,probably wont coming back,37,25
Worst food/service I've had in a while.,0,worst foodservice ive,39,21
"This place is pretty good, nice little vibe in the restaurant.",1,place pretty good nice little vibe restaurant,62,45
Talk about great customer service of course we will be back.,1,talk great customer service course back,60,39
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,hot dish hot cold dish close room tempo watched staff prepare food bare hand gloveseverything deep fried oil,147,108
I love their fries and their beans.,1,love fry bean,35,13
Always a pleasure dealing with him.,1,always pleasure dealing,35,23
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1,plethora salad sandwich everything ive tried get seal approval,98,62
This place is awesome if you want something light and healthy during the summer.,1,place awesome want something light healthy summer,80,49
"For sushi on the Strip, this is the place to go.",1,sushi strip place go,48,20
"The service was great, even the manager came and helped with our table.",1,service great even manager came helped table,71,44
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,feel dining room college cooking course high class dining service slow best,116,75
"I started this review with two stars, but I'm editing it to give it only one.",0,started review two star im editing give one,77,43
this is the worst sushi i have ever eat besides Costco's.,0,worst sushi ever eat besides costcos,57,36
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,excellent restaurant highlighted great service unique menu beautiful setting,104,76
My boyfriend and i sat at the bar and had a completely delightful experience.,1,boyfriend sat bar completely delightful experience,77,50
Weird vibe from owners.,0,weird vibe owner,23,16
There was hardly any meat.,0,hardly meat,26,11
I've had better bagels from the grocery store.,0,ive better bagel grocery store,46,30
Go To Place for Gyros.,1,go place gyro,22,13
"I love the owner/chef, his one authentic Japanese cool dude!",1,love ownerchef one authentic japanese cool dude,60,47
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,burger arent good pizza used amazing doughy flavorless,92,54
I found a six inch long piece of wire in my salsa.,0,found six inch long piece wire salsa,50,36
"The service was terrible, food was mediocre.",0,service terrible food mediocre,44,30
We definately enjoyed ourselves.,1,definately enjoyed,32,18
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,ordered albondigas soup warm tasted like tomato soup frozen meatball,100,68
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,three different occasion asked well done medium well three time got bloodiest piece meat plate,133,94
I had about two bites and refused to eat anymore.,0,two bite refused eat anymore,49,28
The service was extremely slow.,0,service extremely slow,31,22
"After 20 minutes wait, I got a table.",0,minute wait got table,37,21
Seriously killer hot chai latte.,1,seriously killer hot chai latte,32,31
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,allergy warning menu waitress absolutely clue meal contain peanut,122,65
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,boyfriend tried mediterranean chicken salad fell love,68,53
Their rotating beers on tap is also a highlight of this place.,1,rotating beer tap also highlight place,62,38
Pricing is a bit of a concern at Mellow Mushroom.,0,pricing bit concern mellow mushroom,49,35
Worst Thai ever.,0,worst thai ever,16,15
If you stay in Vegas you must get breakfast here at least once.,1,stay vega must get breakfast least,63,34
I want to first say our server was great and we had perfect service.,1,want first say server great perfect service,68,43
The pizza selections are good.,1,pizza selection good,30,20
"I had strawberry tea, which was good.",1,strawberry tea good,37,19
Highly unprofessional and rude to a loyal patron!,0,highly unprofessional rude loyal patron,49,39
"Overall, a great experience.",1,overall great experience,28,24
Spend your money elsewhere.,0,spend money elsewhere,27,21
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,regular toasted bread equally satisfying occasional pat butter mmmm,97,67
The Buffet at Bellagio was far from what I anticipated.,0,buffet bellagio far anticipated,55,31
"And the drinks are WEAK, people!",0,drink weak people,32,17
-My order was not correct.,0,order correct,26,13
"Also, I feel like the chips are bought, not made in house.",0,also feel like chip bought made house,58,37
After the disappointing dinner we went elsewhere for dessert.,0,disappointing dinner went elsewhere dessert,61,43
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,chip sals amazing,55,17
We won't be returning.,0,wont returning,22,14
This is my new fav Vegas buffet spot.,1,new fav vega buffet spot,37,24
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,seriously believe owner many unexperienced employee running around like chicken head cut,145,88
"Very, very sad.",0,sad,15,3
"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,felt insulted disrespected could talk judge another human like,93,62
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,call steakhouse cant properly cook steak dont understand,94,56
I'm not impressed with the concept or the food.,0,im impressed concept food,47,25
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,thing wasnt crazy guacamole dont like puréed,86,44
"There is really nothing for me at postinos, hope your experience is better",0,really nothing postinos hope experience better,74,46
I got food poisoning here at the buffet.,0,got food poisoning buffet,40,25
They brought a fresh batch of fries and I was thinking yay something warm but no!,0,brought fresh batch fry thinking yay something warm,81,51
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,hilarious yummy christmas eve dinner remember biggest fail entire trip u,121,72
"Needless to say, I won't be going back anytime soon.",0,needless say wont going back anytime soon,52,41
This place is disgusting!,0,place disgusting,25,16
"Every time I eat here, I see caring teamwork to a professional degree.",1,every time eat see caring teamwork professional degree,70,54
The RI style calamari was a joke.,0,ri style calamari joke,33,22
"However, there was so much garlic in the fondue, it was barely edible.",0,however much garlic fondue barely edible,70,40
"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,could barely stomach meal didnt complain business lunch,85,55
"It was so bad, I had lost the heart to finish it.",0,bad lost heart finish,49,21
It also took her forever to bring us the check when we asked for it.,0,also took forever bring u check asked,68,37
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0,arent one make scene restaurant dont get itdefinitely lost love one,112,67
Disappointing experience.,0,disappointing experience,25,24
"The food is about on par with Denny's, which is to say, not good at all.",0,food par dennys say good,72,24
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0,want wait mediocre food downright terrible service place,101,56
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,waaaaaayyyyyyyyyy rated saying,48,30
We won't be going back.,0,wont going back,23,15
The place was fairly clean but the food simply wasn't worth it.,0,place fairly clean food simply wasnt worth,63,42
This place lacked style!!,0,place lacked style,25,18
"The sangria was about half of a glass wine full and was $12, ridiculous.",0,sangria half glass wine full ridiculous,72,39
Don't bother coming here.,0,dont bother coming,25,18
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,meat pretty dry sliced brisket pulled pork,66,42
"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",0,building seems pretty neat bathroom pretty trippy wouldnt eat,100,61
It was equally awful.,0,equally awful,21,13
Probably not in a hurry to go back.,0,probably hurry go back,35,22
very slow at seating even with reservation.,0,slow seating even reservation,43,29
Not good by any stretch of the imagination.,0,good stretch imagination,43,24
The cashew cream sauce was bland and the vegetables were undercooked.,0,cashew cream sauce bland vegetable undercooked,69,46
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,chipolte ranch dipping sause tasteless seemed thin watered heat,90,63
"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,bit sweet really spicy enough lacked flavor,67,43
I was VERY disappointed!!,0,disappointed,25,12
This place is horrible and way overpriced.,0,place horrible way overpriced,42,29
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,maybe vegetarian fare ive twice thought average best,96,52
It wasn't busy at all and now we know why.,0,wasnt busy know,42,15
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,table outside also dirty lot time worker always friendly helpful menu,118,69
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0,ambiance feel like buffet setting douchey indoor garden tea biscuit,111,67
Con: spotty service.,0,con spotty service,20,18
"The fries were not hot, and neither was my burger.",0,fry hot neither burger,50,22
But then they came back cold.,0,came back cold,29,14
"Then our food came out, disappointment ensued.",0,food came disappointment ensued,46,31
The real disappointment was our waiter.,0,real disappointment waiter,39,26
My husband said she was very rude... did not even apologize for the bad food or anything.,0,husband said rude even apologize bad food anything,89,50
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0,reason eat would fill night binge drinking get carbs stomach,120,60
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,insult profound deuchebaggery go outside smoke break serving solidify,107,69
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0,someone order two taco dont think may part customer service ask combo ala cart,114,78
She was quite disappointed although some blame needs to be placed at her door.,0,quite disappointed although blame need placed door,78,50
After all the rave reviews I couldn't wait to eat here......what a disappointment!,0,rave review couldnt wait eat herewhat disappointment,82,52
Del Taco is pretty nasty and should be avoided if possible.,0,del taco pretty nasty avoided possible,59,38
It's NOT hard to make a decent hamburger.,0,hard make decent hamburger,41,26
But I don't like it.,0,dont like,20,9
Hell no will I go back,0,hell go back,22,12
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,weve gotten much better service pizza place next door service received restaurant,122,81
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0,dont know big deal place wont back yaall,81,40
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,immediately said wanted talk manager want talk guy shot fireball behind bar,136,75
The ambiance isn't much better.,0,ambiance isnt much better,31,25
"Unfortunately, it only set us up for disapppointment with our entrees.",0,unfortunately set u disapppointment entree,70,42
The food wasn't good.,0,food wasnt good,21,15
"Your servers suck, wait, correction, our server Heimer sucked.",0,server suck wait correction server heimer sucked,62,48
What happened next was pretty....off putting.,0,happened next prettyoff putting,45,31
"too bad cause I know it's family owned, I really wanted to like this place.",0,bad cause know family owned really wanted like place,75,52
Overpriced for what you are getting.,0,overpriced getting,36,18
I vomited in the bathroom mid lunch.,0,vomited bathroom mid lunch,36,26
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,kept looking time soon become minute yet still food,80,51
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,place eat circumstance would ever return top list,113,49
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,started tuna sashimi brownish color obviously wasnt fresh,88,57
Food was below average.,0,food average,23,12
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0,sure beat nacho movie would expect little bit coming restaurant,105,63
"All in all, Ha Long Bay was a bit of a flop.",0,ha long bay bit flop,44,20
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0,problem charge sandwich bigger subway sub offer better amount vegetable,149,71
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,shrimp unwrapped live mile brushfire literally ice cold,94,55
"It lacked flavor, seemed undercooked, and dry.",0,lacked flavor seemed undercooked dry,46,36
It really is impressive that the place hasn't closed down.,0,really impressive place hasnt closed,58,36
I would avoid this place if you are staying in the Mirage.,0,would avoid place staying mirage,58,32
The refried beans that came with my meal were dried out and crusty and the food was bland.,0,refried bean came meal dried crusty food bland,90,46
Spend your money and time some place else.,0,spend money time place else,42,27
A lady at the table next to us found a live green caterpillar In her salad.,0,lady table next u found live green caterpillar salad,75,52
the presentation of the food was awful.,0,presentation food awful,39,23
I can't tell you how disappointed I was.,0,cant tell disappointed,40,22
I think food should have flavor and texture and both were lacking.,0,think food flavor texture lacking,66,33
Appetite instantly gone.,0,appetite instantly gone,24,23
Overall I was not impressed and would not go back.,0,overall impressed would go back,50,31
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,whole experience underwhelming think well go ninja sushi next time,91,66
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0,hadnt wasted enough life poured salt wound drawing time took bring check,134,72
